Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Jason Dickinson,VAN,C,26,1600000,SENS,51,7,8,18,66,2,1,0,78,49,137
Pierre Engvall,TOR,C,25,1250000,FA,42,7,5,16,61,1,0,0,43,12,102
Justin Faulk,STL,D,29,9000000,FA,56,7,18,35,117,2,5,2,127,87,0
Nick Foligno,TOR,C,33,5500000,MIN,49,7,13,32,81,0,2,3,133,37,117
Sam Gagner,DET,C,31,850000,FA,42,7,8,15,88,1,1,0,5,14,83
Ryan Hartman,MIN,RW,26,1900000,FA,51,7,15,33,74,2,3,2,55,33,198
Danton Heinen,ANA,C,26,2775000,FA,43,7,7,0,76,1,1,0,32,30,1
Ryan Johansen,NSH,C,28,8000000,VAN,48,7,15,22,67,0,7,0,43,16,424
Max Jones,ANA,LW,23,832500,LAK,46,7,4,36,77,1,3,0,100,11,5
Tyson Jost,COL,C,23,874125,TB,54,7,10,24,92,1,0,0,45,19,162
John Klingberg,DAL,D,28,6000000,COL,53,7,29,23,108,1,17,0,49,52,0
Curtis Lazar,BOS,C,26,800000,FA,50,7,6,6,55,1,0,0,99,22,160
Artturi Lehkonen,MTL,LW,26,2400000,LAK,47,7,6,6,78,0,0,3,85,23,5
Kris Letang,PIT,D,34,7250000,BOS,55,7,38,32,132,2,15,1,92,65,0
Ilya Mikheyev,TOR,LW,26,2190000,VAN,54,7,10,6,107,2,0,1,49,28,2
Brandon Montour,FLA,D,27,3850000,SK,50,7,11,40,94,0,1,2,54,62,0
Zach Parise,(N/A),LW,36,6000000,FA,45,7,11,6,90,3,2,0,18,20,34
Alex Pietrangelo,VGK,D,31,5000000,COL,41,7,16,16,126,2,4,1,28,80,0
Ivan Provorov,PHI,D,24,7125000,LAK,56,7,19,28,126,2,10,0,56,106,0
Evan Rodrigues,PIT,C,27,700000,FA,35,7,7,6,65,1,2,0,21,10,54
Bobby Ryan,DET,LW,34,1000000,FA,33,7,7,27,73,0,3,0,31,17,5
Wayne Simmonds,TOR,RW,32,900000,ANH,38,7,2,45,62,0,3,0,64,15,6
Jeff Skinner,BUF,LW,29,10000000,FA,53,7,7,14,111,0,1,0,20,12,28
Carl Soderberg,(N/A),C,35,1000000,FA,45,7,10,18,61,1,5,1,66,36,201
Jared Spurgeon,MIN,D,31,9000000,CHI,54,7,18,6,94,0,9,0,52,102,0
Brandon Tanev,SEA,LW,29,3500000,CLS,32,7,9,22,43,0,0,2,139,33,3
Troy Terry,ANA,RW,23,1350000,FA,48,7,13,18,69,0,0,0,5,13,2
Owen Tippett,FLA,RW,22,925000,ANH,45,7,11,6,86,2,3,0,59,5,2
