Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Matt Register,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brent Regner,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alec Regula,CHI,D,20,897500,CHI,3,0,0,0,1,0,0,0,3,3,0
Ryan Rehill,NJD,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeremy Reich,(N/A),LW,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kristian Reichel,WPG,C,23,715000,FA,0,0,0,0,0,0,0,0,0,0,0
Lukas Reichel,CHI,LW,19,925000,ANH,0,0,0,0,0,0,0,0,0,0,0
Adam Reid,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Reid,(N/A),C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brodie Reid,(N/A),RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Darren Reid,WSH,RW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Luke Reid,NSH,D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andy Reierson,ANA,D,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Reilly,BOS,D,28,1500000,SENS,55,0,27,22,98,0,4,0,70,43,0
Will Reilly,PIT,D,24,780000,FA,0,0,0,0,0,0,0,0,0,0,0
Lee Reimer,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Reinhardt,OTT,LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Griffin Reinhart,EDM,D,27,850000,SENS,0,0,0,0,0,0,0,0,0,0,0
Max Reinhart,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mitch Reinke,STL,D,25,750000,FA,0,0,0,0,0,0,0,0,0,0,0
Erik Reitz,(N/A),D,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sheldon Rempal,CAR,LW,25,700000,FA,3,0,0,0,3,0,0,0,0,3,0
Matthew Rempe,NYR,C,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Borna Rendulic,(N/A),RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Parker Reno,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan Renouf,COL,D,27,700000,FA,18,0,3,16,12,0,0,0,20,3,0
Ludvig Rensfeldt,CHI,LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michal Repik,(N/A),RW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sebastian Repo,FLA,RW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tarmo Reunanen,NYR,D,23,792500,FA,4,0,1,0,5,0,0,0,4,5,0
Martin Reway,MTL,LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Peter Reynolds,(N/A),C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
T.J. Reynolds,EDM,D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan Rheault,FLA,RW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rhett Rhinehart,(N/A),D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Damien Riat,WSH,LW,24,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Riazantsev,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony Richard,NSH,C,24,735000,FA,0,0,0,0,0,0,0,0,0,0,0
Guillaume Richard,CBJ,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tanner Richard,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Richards,NYR,C,23,925000,FA,1,0,1,0,2,0,0,0,2,1,0
Mike Richards,(N/A),C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carsen Richels,(N/A),LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Danny Richmond,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Calle Ridderwall,(N/A),LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Yannick Riendeau,(N/A),RW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michel Riesen,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carter Rigby,(N/A),RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Juuso Riikola,PIT,D,27,1000000,FA,2,0,0,0,1,0,0,0,5,1,0
Blair Riley,(N/A),LW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Conor Riley,ANA,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Zac Rinaldo,CGY,LW,31,700000,FA,4,0,0,5,1,0,0,0,13,0,0
Axel Rindell,TOR,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Merrick Rippon,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rasmus Rissanen,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jaynen Rissling,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jani Rita,(N/A),LW,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mattias Ritola,TBL,C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Massimo Rizzo,CAR,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Roach,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Colby Robak,CGY,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Felix Robert,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Connor Roberts,(N/A),C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Zachary Roberts,(N/A),LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carter Robertson,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dennis Robertson,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Robertson,NYR,D,20,842500,ANH,0,0,0,0,0,0,0,0,0,0,0
Nicholas Robertson,TOR,LW,19,850000,CLS,6,0,1,0,9,0,0,0,3,2,0
Simon Robertsson,STL,RW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Robidas,CAR,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tristen Robins,SJS,C,19,842500,CHI,0,0,0,0,0,0,0,0,0,0,0
Brandon Robinson,(N/A),LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Buddy Robinson,CGY,RW,29,700000,FA,9,0,0,0,6,0,0,0,14,0,1
Carter Robinson,(N/A),C,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Eric Robinson,(N/A),RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nathan Robinson,(N/A),LW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Owen Robinson,(N/A),C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Louis Robitaille,NJD,LW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ken Roche,COL,C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Theo Rochette,(N/A),C,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Rockwood,FLA,C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Noah Rod,(N/A),RW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Rodewald,(N/A),RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anton Rodin,ANA,RW,30,750000,BOS,0,0,0,0,0,0,0,0,0,0,0
Dmitri Rodionychev,(N/A),D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Bryan Rodney,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Garrett Roe,LAK,LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Rogalski,PIT,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ben Roger,OTT,D,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Andy Rogers,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Rogers,(N/A),D,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Rogers,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Miika Roine,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stuart Rolofs,(N/A),LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryder Rolston,COL,C,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kieran Roman,DAL,LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Milos Roman,CGY,C,21,500000,SENS,0,0,0,0,0,0,0,0,0,0,0
Ondrej Roman,(N/A),LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony Romano,ARI,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tony Romano,NYI,C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Rome,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ashton Rome,WSH,RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chandler Romeo,OTT,D,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Jonas Rondbjerg,VGK,RW,22,790000,FA,0,0,0,0,0,0,0,0,0,0,0
Ty Ronning,NYR,RW,23,770000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Rooneem,(N/A),LW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Rooney,NJD,LW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jesse Root,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marco Rosa,WPG,C,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jerad Rosburg,DAL,D,25,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Jay Rosehill,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Calle Rosen,TOR,D,27,750000,FA,0,0,0,0,0,0,0,0,0,0,0
Isak Rosen,BUF,LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Robert Rosen,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brad Ross,(N/A),LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Garret Ross,WPG,LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jared Ross,(N/A),C,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Ross,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marco Rossi,MIN,C,19,925000,VAN,0,0,0,0,0,0,0,0,0,0,0
Conner Roulette,DAL,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Allan Rourke,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Lukas Rousek,BUF,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charles-Olivier Roussel,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dany Roussin,(N/A),LW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Rowe,PHI,LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jordan Rowley,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carter Rowney,ANA,RW,32,1000000,FA,19,0,6,2,10,0,0,0,45,21,8
Derek Roy,(N/A),C,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Eric Roy,SJS,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Frederick Roy,BUF,LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Hugo Roy,NSH,C,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeremy Roy,(N/A),D,24,832500,SENS,0,0,0,0,0,0,0,0,0,0,0
Joshua Roy,MTL,C,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kevin Roy,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marc-Olivier Roy,VAN,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mathieu Roy,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michal Rozsival,(N/A),D,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nikita Rtishchev,(N/A),RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Rubinchik,(N/A),D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kristians Rubins,TOR,D,23,760000,FA,0,0,0,0,0,0,0,0,0,0,0
German Rubtsov,PHI,C,23,750000,ANH,0,0,0,0,0,0,0,0,0,0,0
Steve Rucchin,(N/A),C,50,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tyler Ruegsegger,TOR,C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Austin Rueschhoff,NYR,RW,23,817500,FA,0,0,0,0,0,0,0,0,0,0,0
Rosario Ruggeri,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Steven Ruggiero,ANA,D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chad Ruhwedel,PIT,D,31,700000,FA,17,0,2,14,16,0,0,0,32,13,0
Joe Rullier,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chris Rumble,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Rundblad,CHI,D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Harrison Ruopp,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sam Ruopp,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Rupert,TOR,LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Rupert,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Rupp,(N/A),C,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kieran Ruscheinski,MTL,D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick Russell,EDM,RW,28,700000,FA,8,0,2,0,12,0,0,0,13,0,1
Ryan Russell,(N/A),LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Robbie Russo,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Rust,CBJ,C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Theo Ruth,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Troy Rutkowski,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Ruuttu,ARI,C,28,500000,TB,0,0,0,0,0,0,0,0,0,0,0
Tuomo Ruutu,(N/A),LW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Ruzicka,CGY,C,22,785000,FA,3,0,1,4,3,0,0,0,1,0,14
Stefan Ruzicka,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vladimir Ruzicka,ARI,C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ben Ryan,(N/A),C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joakim Ryan,(N/A),D,28,725000,FA,4,0,0,0,2,0,0,0,1,1,0
Joe Ryan,TOR,D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kenny Ryan,(N/A),RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Ryan,LAK,C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Ryan,(N/A),LW,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Prestin Ryan,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Henrik Rybinski,FLA,RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kerby Rychel,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Rycroft,(N/A),RW,43,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Ryczek,CHI,D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Gustav Rydahl,(N/A),C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan Ryder,CGY,C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Ryder,(N/A),RW,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Ryfors,TBL,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Yegor Rykov,NYR,D,24,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Takov Rylov,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Drake Rymsha,LAK,C,22,750000,FA,1,0,0,0,0,0,0,0,0,0,0
Johan Ryno,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Martin Rysavy,CBJ,LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jason Ryznar,MIN,LW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Iivari Rasanen,(N/A),D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aatu Raty,NYI,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aku Raty,ARI,RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Zach Saar,(N/A),RW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aleksi Saarela,FLA,C,24,750000,CLS,0,0,0,0,0,0,0,0,0,0,0
Antti Saarela,CHI,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Santeri Saari,STL,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vili Saarijarvi,ARI,D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Scott Sabourin,TOR,RW,28,500000,FA,1,0,0,5,0,0,0,0,3,0,0
Nico Sacchetti,DAL,C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Sadek,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dylan Sadowy,NYI,LW,25,792500,BOS,0,0,0,0,0,0,0,0,0,0,0
Ostap Safin,EDM,RW,22,787500,FA,0,0,0,0,0,0,0,0,0,0,0
Ilya Safonov,CHI,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kirill Safronov,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Saigeon,COL,C,23,500000,CHI,0,0,0,0,0,0,0,0,0,0,0
Chase Sakic,(N/A),LW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brian Salcido,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Radim Salda,TBL,D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony Salinitri,PHI,C,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dante Salituro,(N/A),C,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jere Sallinen,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomi Sallinen,(N/A),LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anssi Salmela,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Santeri Salmela,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tony Salmelainen,TOR,LW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sakari Salminen,(N/A),RW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Saku Salminen,TBL,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sami Salminen,(N/A),RW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Samu Salminen,NJD,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Robin Salo,NYI,D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Miikka Salomaki,COL,RW,28,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Elias Salomonsson,(N/A),D,16,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dylan Samberg,WPG,D,22,925000,COL,0,0,0,0,0,0,0,0,0,0,0
Jordan Sambrook,(N/A),D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dmitry Samorukov,EDM,D,22,800000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Samoskevich,FLA,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charlie Sampair,STL,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ethan Samson,PHI,D,17,500000,W (Sat),0,0,0,0,0,0,0,0,0,0,0
Jerome Samson,TBL,RW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jordan Samuels-Thomas,WSH,LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Samuelsson,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Henrik Samuelsson,NYI,RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jesper Samuelsson,DET,C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Martin Samuelsson,(N/A),RW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mattias Samuelsson,BUF,D,21,925000,FA,12,0,2,4,10,0,0,0,20,10,0
Philip Samuelsson,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
James Sanchez,(N/A),LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Filip Sandberg,SJS,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Geoff Sanderson,(N/A),LW,49,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Sanderson,OTT,D,19,500000,SK,0,0,0,0,0,0,0,0,0,0,0
Emil Sandin,OTT,LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Linus Sandin,PHI,RW,25,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Rasmus Sandin,TOR,D,21,832500,BOS,9,0,4,0,9,0,0,0,11,7,0
Carter Sandlak,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Sanford,COL,RW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Bobby Sanguinetti,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Raffaele Sannitz,(N/A),C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tommi Santala,VAN,C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Steven Santini,STL,D,26,700000,FA,3,0,1,0,9,0,0,0,12,2,0
Mark Santorelli,(N/A),C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Santorelli,(N/A),C,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mathew Santos,(N/A),RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick Sanvido,DAL,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sergei Sapego,TOR,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vinny Saponari,(N/A),RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Oleg Saprykin,(N/A),LW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Saracino,(N/A),LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charlie Sarault,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stiven Sardarian,BUF,RW,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Cory Sarich,(N/A),D,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Miroslav Satan,(N/A),RW,46,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kurt Sauer,(N/A),D,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Sauer,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Saulnier,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Allain Saulnier,(N/A),RW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Saunders,(N/A),D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nathan Saunders,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ashton Sautner,VAN,D,27,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Max Sauve,(N/A),C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Yann Sauve,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Red Savage,DET,LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Savage,(N/A),RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Scott Savage,NSH,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marc Savard,(N/A),C,44,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Veli-Matti Savinainen,(N/A),LW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carter Savoie,EDM,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Savoie,(N/A),C,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Danil Savunov,ARI,LW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Raymond Sawada,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jean-Claude Sawyer,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Luca Sbisa,NSH,D,31,800000,FA,1,0,0,0,0,0,0,0,3,2,0
Mario Scalzo,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Scanlin,(N/A),D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Scarfo,(N/A),LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Reece Scarlett,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Peter Schaefer,(N/A),LW,44,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tim Schaller,(N/A),C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Schaus,(N/A),D,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Lane Scheidl,TBL,LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brad Schell,(N/A),C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Geoffrey Schemitsch,TBL,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Thomas Schemitsch,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Schempp,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nikita Scherbak,(N/A),RW,25,832500,SENS,0,0,0,0,0,0,0,0,0,0,0
Tristan Scherwey,OTT,LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Drew Schiestel,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Schilkey,NYI,RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cameron Schilling,WSH,D,32,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Wyatt Schingoethe,TOR,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Craig Schira,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Schlemko,PHI,D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Schmaltz,BOS,LW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jordan Schmaltz,ARI,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Schmalz,LAK,C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Schmelzer,NJD,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
